x1	y1	label
700	100	Plane_010
x2	y2	manDist	eucDist	label
900       100       200       200       CLT       
300       -100      600       447.2     STL       
700       700       600       600       EWR       
500       -400      700       538.5     ATL       
300       500       800       565.7     DTW       
900       700       800       632.5     JFK       
900       -600      900       728       MCO       
100       500       1000      721.1     ORD       
0         -300      1100      806.2     DFW       
-200      300       1100      922       JAC       
1000      -800      1200      948.7     MIA       
-300      -100      1200      1020      DEN       
-600      100       1300      1300      SLC       
-200      700       1500      1082      MSP       
-400      -500      1700      1253      PHX       
-700      -200      1700      1432      LAS       
-900      500       2000      1649      JAC       
-1300     100       2000      2000      SFO       
-1200     -300      2300      1942      LAX       
-1200     700       2500      1992      SEA       
