x1	y1	label
-1100	-100	Plane_005
x2	y2	manDist	eucDist	label
-1200     -300      300       223.6     LAX       
-1300     100       400       282.8     SFO       
-700      -200      500       412.3     LAS       
-600      100       700       538.5     SLC       
-900      500       800       632.5     JAC       
-300      -100      800       800       DEN       
-1200     700       900       806.2     SEA       
-400      -500      1100      806.2     PHX       
-200      300       1300      984.9     JAC       
0         -300      1300      1118      DFW       
-200      700       1700      1204      MSP       
100       500       1800      1342      ORD       
300       -100      1400      1400      STL       
300       500       2000      1523      DTW       
500       -400      1900      1628      ATL       
700       700       2600      1970      EWR       
900       100       2200      2010      CLT       
900       -600      2500      2062      MCO       
900       700       2800      2154      JFK       
1000      -800      2800      2214      MIA       
