x1	y1	label
1000	-300	Plane_014
x2	y2	manDist	eucDist	label
900       -600      400       316.2     MCO       
900       100       500       412.3     CLT       
1000      -800      500       500       MIA       
500       -400      600       509.9     ATL       
300       -100      900       728       STL       
0         -300      1000      1000      DFW       
900       700       1100      1005      JFK       
700       700       1300      1044      EWR       
300       500       1500      1063      DTW       
100       500       1700      1204      ORD       
-300      -100      1500      1315      DEN       
-200      300       1800      1342      JAC       
-400      -500      1600      1414      PHX       
-200      700       2200      1562      MSP       
-600      100       2000      1649      SLC       
-700      -200      1800      1703      LAS       
-900      500       2700      2062      JAC       
-1200     -300      2200      2200      LAX       
-1300     100       2700      2335      SFO       
-1200     700       3200      2417      SEA       
