x1	y1	label
900	400	Plane_011
x2	y2	manDist	eucDist	label
900       700       300       300       JFK       
900       100       300       300       CLT       
700       700       500       360.6     EWR       
300       500       700       608.3     DTW       
100       500       900       806.2     ORD       
900       -600      1000      1000      MCO       
300       -100      1100      781       STL       
500       -400      1200      894.4     ATL       
-200      300       1200      1105      JAC       
1000      -800      1300      1204      MIA       
-200      700       1400      1140      MSP       
0         -300      1600      1140      DFW       
-300      -100      1700      1300      DEN       
-600      100       1800      1530      SLC       
-900      500       1900      1803      JAC       
-400      -500      2200      1581      PHX       
-700      -200      2200      1709      LAS       
-1200     700       2400      2121      SEA       
-1300     100       2500      2220      SFO       
-1200     -300      2800      2214      LAX       
