x1	y1	label
-800	-400	Plane_006
x2	y2	manDist	eucDist	label
-1300	100	1000	707.1 	SFO
-1200	700	1500	1170 	SEA
-900	500	1000	905.5 	JAC
-600	100	700	538.5 	SLC
-200	700	1700	1253 	MSP
-200	300	1300	922 	JAC
-1200	-300	500	412.3 	LAX
-700	-200	300	223.6 	LAS
-300	-100	800	583.1 	DEN
-400	-500	500	412.3 	PHX
0	-300	900	806.2 	DFW
100	500	1800	1273 	ORD
300	500	2000	1421 	DTW
700	700	2600	1860 	EWR
900	700	2800	2025 	JFK
900	100	2200	1772 	CLT
300	-100	1400	1140 	STL
500	-400	1300	1300 	ATL
900	-600	1900	1712 	MCO
1000	-800	2200	1844 	MIA
