x1	y1	label
200	100	Plane_008
x2	y2	manDist	eucDist	label
-1300	100	1500	1500 	SFO
-1200	700	2000	1523 	SEA
-900	500	1500	1170 	JAC
-600	100	800	800 	SLC
-200	700	1000	721.1 	MSP
-200	300	600	447.2 	JAC
-1200	-300	1800	1456 	LAX
-700	-200	1200	948.7 	LAS
-300	-100	700	538.5 	DEN
-400	-500	1200	848.5 	PHX
0	-300	600	447.2 	DFW
100	500	500	412.3 	ORD
300	500	500	412.3 	DTW
700	700	1100	781 	EWR
900	700	1300	922 	JFK
900	100	700	700 	CLT
300	-100	300	223.6 	STL
500	-400	800	583.1 	ATL
900	-600	1400	989.9 	MCO
1000	-800	1700	1204 	MIA
