57  ,307 ,757 ,64  ,335 ,832 ,885 ,475 ,25  , 309
258 ,439 ,285 ,685 ,934 ,881 ,345 ,64  ,742 , 776
316 ,778 ,818 ,356 ,482 ,628 ,283 ,444 ,537 , 921
676 ,428 ,288 ,587 ,569 ,420 ,706 ,395 ,25  , 852
402 ,930 ,196 ,68  ,745 ,70  ,698 ,87  ,384 , 144
353 ,345 ,782 ,45  ,510 ,296 ,315 ,2   ,309 , 676
556 ,794 ,45  ,289 ,423 ,79  ,899 ,337 ,71  , 525
16  ,313 ,291 ,763 ,437 ,855 ,125 ,419 ,582 ,  70
948 ,112 ,220 ,131 ,369 ,332 ,282 ,196 ,470 , 152
935 ,753 ,197 ,964 ,362 ,998 ,371 ,838 ,338 , 644
